image_path,style,event_type,description
images/casual/casual_0000.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0001.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0002.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0003.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0004.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0005.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0006.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0007.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0008.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0009.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0010.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0011.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0012.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0013.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0014.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0015.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0016.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0017.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0018.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0019.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0020.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0021.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0022.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0023.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0024.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0025.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0026.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0027.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0028.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0029.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0030.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0031.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0032.jpg,casual,soiree_networking,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0033.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0034.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0035.jpg,casual,journee_campus,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0036.jpg,casual,presentation_projet,Tenue casual pour un contexte professionnel etudiant
images/casual/casual_0037.jpg,casual,entretien_embauche,Tenue casual pour un contexte professionnel etudiant
